"go1","go1err","xi","xierr","go2","go2err","Emax","EmaxErr","go1clean","xiclean","go2clean","Emaxclean"
0.001,0.011,0.41,0.14,0.009,0.018,5.1,0.2,"0.001 ± 0.011","0.41 ± 0.14","0.01 ± 0.02","5.1 ± 0.2"
0.004,0.008,1.53,0.38,-0.004,0.014,6.4,0.4,"0.004 ± 0.008","1.53 ± 0.38","0 ± 0.01","6.4 ± 0.4"
0.002,0.005,1.24,0.2,-0.017,0.01,7.7,0.2,"0.002 ± 0.005","1.24 ± 0.2","-0.02 ± 0.01","7.7 ± 0.2"
0.003,0.008,1.13,0.22,-0.019,0.014,7.9,0.2,"0.003 ± 0.008","1.13 ± 0.22","-0.02 ± 0.01","7.9 ± 0.2"
0,0.005,1.95,0.18,-0.031,0.013,15,0.2,"0 ± 0.005","1.95 ± 0.18","-0.03 ± 0.01","15 ± 0.2"
0.003,0.01,1.38,0.26,-0.02,0.021,9.3,0.4,"0.003 ± 0.01","1.38 ± 0.26","-0.02 ± 0.02","9.3 ± 0.4"
0.017,0.007,0.25,0.29,0.022,0.013,0.6,0.2,"0.017 ± 0.007","0.25 ± 0.29","0.02 ± 0.01","0.6 ± 0.2"
0.016,0.005,0.18,0.09,-0.005,0.011,5.4,0.1,"0.016 ± 0.005","0.18 ± 0.09","0 ± 0.01","5.4 ± 0.1"
-0.017,0.013,2.94,0.58,-0.032,0.021,17,0.8,"-0.017 ± 0.013","2.94 ± 0.58","-0.03 ± 0.02","17 ± 0.8"
0.021,0.005,0.93,0.35,0.014,0.007,2.8,0.1,"0.021 ± 0.005","0.93 ± 0.35","0.01 ± 0.01","2.8 ± 0.1"
0.008,0.012,1.05,0.38,-0.001,0.019,5,0.4,"0.008 ± 0.012","1.05 ± 0.38","0 ± 0.02","5 ± 0.4"
0.003,0.009,3.21,0.44,-0.02,0.015,17.5,0.4,"0.003 ± 0.009","3.21 ± 0.44","-0.02 ± 0.02","17.5 ± 0.4"
-0.004,0.013,2.09,0.41,-0.029,0.017,13.3,0.3,"-0.004 ± 0.013","2.09 ± 0.41","-0.03 ± 0.02","13.3 ± 0.3"
0.091,0.04,-0.21,2.55,0.059,0.055,4.6,7.7,"0.091 ± 0.04","-0.21 ± 2.55","0.06 ± 0.06","4.6 ± 7.7"
0.008,0.008,0.19,0.18,0.005,0.018,2.3,0.3,"0.008 ± 0.008","0.19 ± 0.18","0 ± 0.02","2.3 ± 0.3"
0,0.008,1.8,0.35,-0.027,0.016,11.1,0.4,"0 ± 0.008","1.8 ± 0.35","-0.03 ± 0.02","11.1 ± 0.4"
-0.006,0.005,1.73,0.19,-0.026,0.01,9,0.2,"-0.006 ± 0.005","1.73 ± 0.19","-0.03 ± 0.01","9 ± 0.2"
0.008,0.003,0.75,0.17,-0.011,0.008,4,0.1,"0.008 ± 0.003","0.75 ± 0.17","-0.01 ± 0.01","4 ± 0.1"
0.04,0.031,0.41,3.09,0.015,0.052,5.9,10.8,"0.04 ± 0.031","0.41 ± 3.09","0.02 ± 0.05","5.9 ± 10.8"
0.008,0.003,0.81,0.16,0.001,0.006,2.5,0.1,"0.008 ± 0.003","0.81 ± 0.16","0 ± 0.01","2.5 ± 0.1"
0.024,0.016,0.67,0.7,0.011,0.026,3.9,1.2,"0.024 ± 0.016","0.67 ± 0.7","0.01 ± 0.03","3.9 ± 1.2"
0.004,0.001,-0.21,0.07,0.001,0.002,0.5,0,"0.004 ± 0.001","-0.21 ± 0.07","0 ± 0","0.5 ± 0"
0.005,0.001,0.43,0.09,-0.003,0.003,1.6,0,"0.005 ± 0.001","0.43 ± 0.09","0 ± 0","1.6 ± 0"
0.005,0.002,0.51,0.12,0,0.003,1.4,0,"0.005 ± 0.002","0.51 ± 0.12","0 ± 0","1.4 ± 0"
0.008,0.002,0.84,0.16,-0.008,0.005,3.3,0.1,"0.008 ± 0.002","0.84 ± 0.16","-0.01 ± 0","3.3 ± 0.1"
0.012,0.002,0.74,0.18,0.006,0.003,2.2,0,"0.012 ± 0.002","0.74 ± 0.18","0.01 ± 0","2.2 ± 0"
0,0.002,0.8,0.11,-0.009,0.005,2.7,0,"0 ± 0.002","0.8 ± 0.11","-0.01 ± 0","2.7 ± 0"
0.003,0.001,0.4,0.15,-0.003,0.003,1.2,0,"0.003 ± 0.001","0.4 ± 0.15","0 ± 0","1.2 ± 0"
