"spp","treatment","xiSqrtVcmax0","xiSqrtVcmax0SE","xi","xi_err","wpMean","wpSE","Emax","Emax_err"
"BET","control",59.2396217511686,13.9673621165186,9.02895690626615,1.73802109669941,"-0.513","0.122414596079607",11.0599426203912,3.94645290445522
"BET","drought",12.091938107409,4.9003498439142,2.14755753239421,0.427718418226274,"-1.474","0.342347289556478",1.56616483848198,0.377843213954046
"EUC","control",22.85451590532,7.09116408680133,3.76146798543375,0.866468377819603,"-0.58325","0.282250295246376",3.99386446385117,1.37629776904209
"EUC","drought",20.2017925454145,7.11397739885774,4.19422482093699,0.811051340106309,"-0.966","0.403279472987819",3.26689272264874,0.863449945975868
"MOL","control",7.94315612547443,60.7605110030943,2.04052500379084,15.4909375742135,"-0.482333333333333","0.046698798461821",5.94298890895245,15.9873835407984
"MOL","drought",16.5406850049453,7.52115280096556,3.69601122325752,0.922150573069444,"-1.38142857142857","0.253312329061224",2.1798377202114,0.572351938324515
"PIN","control",28.5881146735836,7.42418105365587,4.05329496995392,0.808989711061802,"-0.366333333333333","0.103283321230702",2.53795361563048,0.742977092668739
"PIN","drought",30.9711199041314,5.18082481060728,4.03467627400475,0.533079784131631,"-0.536166666666667","0.0802747019787541",2.65741002554582,0.6849635969916
"PTE","control",19.3408568682892,23.8154635835061,3.37644745106099,3.49505433637241,"-0.452","0.0715821206726931",3.92719666215476,4.37657550037519
"PTE","drought",9.55154202037043,5.48140357438419,2.00477322271626,0.729832276673754,"-0.890333333333333","0.252532198167107",1.19576968189912,0.407506014302617
"QUE","control",54.2389486329712,11.8749790936909,8.68650576049609,0.932452390915974,"-0.527666666666667","0.0932690254645727",8.99369537811139,2.4105715462857
"QUE","drought",15.332749113776,4.98410149226285,2.55023924518576,0.618927920882337,"-0.834333333333333","0.239849072914151",1.4081918243679,0.348377898540066
"ZEA","control",NA,NA,0.940219444036356,0.884980856860798,"-0.401","0.0535007788105307",2.27665732063493,1.66045959838344
"ZEA","drought",NA,NA,-1.0672028992166,0.34857897668901,"-1.4235","0.288441761886174",0.510305407291519,0.198974658973387
