"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"MESindex",1,0.21915528844612,0.21915528844612,205.760866032454,1.19567319274001e-33
"leafAge",1,0.0113598429262276,0.0113598429262276,10.6655474073486,0.00126034022014185
"spp",6,0.0193343023474509,0.00322238372457514,3.02543676020156,0.00726774379163452
"MESindex:leafAge",1,0.00180212832674325,0.00180212832674325,1.6919851117509,0.194658395083273
"MESindex:spp",6,0.023506262876626,0.00391771047943767,3.67826625051624,0.00165747217153803
"leafAge:spp",6,0.0284496370900387,0.00474160618167312,4.45180675877581,0.000279081358353721
"MESindex:leafAge:spp",6,0.00374121040289671,0.000623535067149452,0.58542559628817,0.741808283633149
"Residuals",227,0.241777027072886,0.00106509703556338,NA,NA
"MESindex1",1,0.271320520997391,0.271320520997391,579.207696232731,1.46520917306713e-71
"treatment",1,0.0236461723661315,0.0236461723661315,50.4792080251121,9.07124394888159e-12
"spp1",6,0.0298314474608926,0.00497190791014877,10.6138942824242,1.12170790557799e-10
"MESindex:treatment",1,0.0151056545966429,0.0151056545966429,32.2471421138582,3.25034066636608e-08
"MESindex:spp1",6,0.0147760392420007,0.00246267320700011,5.25724803106331,3.64981157400461e-05
"treatment:spp",6,0.013852581413204,0.00230876356886734,4.92868590607847,7.99817609757343e-05
"MESindex:treatment:spp",6,0.0031919731629331,0.000531995527155516,1.13568963584891,0.341468279470294
"Residuals1",295,0.138188000979306,0.000468433901624767,NA,NA
