"time","Date","soilType","treatment","wp","wpSE"
"midday",2018-05-17,"A","bag",-1.242,0.453618782679906
"midday",2018-05-17,"A","drought",-1.492,0.485664493246109
"midday",2018-05-17,"B","drought",-0.9882,0.602217734710628
"midday",2018-05-17,"C","drought",-1.426,0.0618869937870632
"predawn",2018-05-17,"A","bag",-0.4055,0.0646245567360685
"predawn",2018-05-17,"A","drought",-0.5008,0.0802602018437532
"predawn",2018-05-17,"B","drought",-0.48675,0.27393110447702
"predawn",2018-05-17,"C","drought",-0.4576,0.150880084835607
"predawn",2018-05-22,"A","bag",-0.38125,0.0366912796179146
"predawn",2018-05-22,"A","control",-0.6925,0.561985468376778
"predawn",2018-05-22,"A","drought",-0.338,0.0889156904038877
"predawn",2018-05-22,"B","control",-0.476333333333333,0.0948542741964395
"predawn",2018-05-22,"B","drought",-0.4856,0.114229155647759
"predawn",2018-05-22,"C","control",-0.476666666666667,0.0639557138442949
"predawn",2018-05-22,"C","drought",-0.483666666666667,0.163388698099552
